predictor,trace,ipc,branch_accuracy,mpki
bimodal,600.perlbench_s-1273B,2.14,97.29,3.673
bimodal,602.gcc_s-1850B,0.2378,92.26,19.85
bimodal,603.bwaves_s-2931B,0.8729,80.62,1.636
bimodal,605.mcf_s-1536B,0.2401,99.97,0.04406
bimodal,607.cactuBSSN_s-2421B,1.467,91.79,0.676
bimodal,619.lbm_s-2676B,0.4974,95.94,0.6505
bimodal,620.omnetpp_s-141B,0.2707,92.8,15.15
bimodal,621.wrf_s-575B,1.173,93.01,9.32
bimodal,623.xalancbmk_s-165B,0.4989,96.52,9.704
bimodal,625.x264_s-12B,2.384,88.67,4.877
bimodal,627.cam4_s-490B,1.022,90.31,9.36
bimodal,628.pop2_s-17B,1.231,96.69,3.79
bimodal,631.deepsjeng_s-928B,1.079,89.86,15.07
bimodal,638.imagick_s-10316B,3.344,99.7,0.3128
bimodal,641.leela_s-149B,0.9486,88.24,19.91
bimodal,644.nab_s-12459B,1.373,90.93,12.97
bimodal,648.exchange2_s-387B,1.259,87.91,20.35
bimodal,649.fotonik3d_s-1176B,0.393,99.98,0.00438
bimodal,654.roms_s-293B,1.177,99.8,0.02602
bimodal,657.xz_s-4994B,1.398,85.75,14.94
gag,600.perlbench_s-1273B,2.088,96.93,4.155
gag,602.gcc_s-1850B,0.2753,96.46,9.085
gag,603.bwaves_s-2931B,0.8894,96.74,0.275
gag,605.mcf_s-1536B,0.2402,99.98,0.02966
gag,607.cactuBSSN_s-2421B,1.47,89.95,0.8274
gag,619.lbm_s-2676B,0.4977,97.62,0.3813
gag,620.omnetpp_s-141B,0.263,92.06,16.71
gag,621.wrf_s-575B,1.202,94.28,7.616
gag,623.xalancbmk_s-165B,0.4638,95.53,12.46
gag,625.x264_s-12B,2.797,95.98,1.728
gag,627.cam4_s-490B,1.147,95.2,4.631
gag,628.pop2_s-17B,1.234,96.84,3.626
gag,631.deepsjeng_s-928B,1.057,89.29,15.91
gag,638.imagick_s-10316B,3.344,99.7,0.3139
gag,641.leela_s-149B,0.9357,87.91,20.45
gag,644.nab_s-12459B,1.791,95.16,6.912
gag,648.exchange2_s-387B,1.812,94.16,9.835
gag,649.fotonik3d_s-1176B,0.393,99.96,0.00656
gag,654.roms_s-293B,1.179,99.78,0.0285
gag,657.xz_s-4994B,1.251,82.0,18.87
gap,600.perlbench_s-1273B,2.147,97.34,3.604
gap,602.gcc_s-1850B,0.2382,92.27,19.82
gap,603.bwaves_s-2931B,0.8838,80.62,1.636
gap,605.mcf_s-1536B,0.2402,99.97,0.0441
gap,607.cactuBSSN_s-2421B,1.465,91.85,0.6707
gap,619.lbm_s-2676B,0.4974,95.94,0.6505
gap,620.omnetpp_s-141B,0.2723,93.1,14.53
gap,621.wrf_s-575B,1.178,93.09,9.202
gap,623.xalancbmk_s-165B,0.4989,96.52,9.703
gap,625.x264_s-12B,2.751,94.89,2.197
gap,627.cam4_s-490B,1.141,95.05,4.785
gap,628.pop2_s-17B,1.249,97.22,3.181
gap,631.deepsjeng_s-928B,1.148,91.41,12.76
gap,638.imagick_s-10316B,3.344,99.7,0.3129
gap,641.leela_s-149B,1.004,89.71,17.41
gap,644.nab_s-12459B,1.445,91.84,11.66
gap,648.exchange2_s-387B,1.62,92.27,13.01
gap,649.fotonik3d_s-1176B,0.393,99.98,0.00438
gap,654.roms_s-293B,1.179,99.79,0.02664
gap,657.xz_s-4994B,1.414,86.01,14.67
pap,600.perlbench_s-1273B,2.321,98.42,2.141
pap,602.gcc_s-1850B,0.2734,96.16,9.857
pap,603.bwaves_s-2931B,0.8919,99.97,0.00264
pap,605.mcf_s-1536B,0.2403,99.98,0.02988
pap,607.cactuBSSN_s-2421B,1.466,91.81,0.6739
pap,619.lbm_s-2676B,0.4977,97.61,0.3826
pap,620.omnetpp_s-141B,0.264,92.79,15.18
pap,621.wrf_s-575B,1.237,95.03,6.618
pap,623.xalancbmk_s-165B,0.4989,96.52,9.705
pap,625.x264_s-12B,2.873,96.43,1.537
pap,627.cam4_s-490B,1.068,92.36,7.375
pap,628.pop2_s-17B,1.249,97.21,3.197
pap,631.deepsjeng_s-928B,1.069,89.57,15.5
pap,638.imagick_s-10316B,3.344,99.7,0.3132
pap,641.leela_s-149B,0.9624,88.53,19.41
pap,644.nab_s-12459B,1.706,94.36,8.061
pap,648.exchange2_s-387B,1.621,92.16,13.2
pap,649.fotonik3d_s-1176B,0.393,99.98,0.00438
pap,654.roms_s-293B,1.178,99.79,0.02728
pap,657.xz_s-4994B,1.405,85.85,14.83
