policy,trace,ipc,l2_access,l2_hit,l2_miss,l2_miss_rate
lru,600.perlbench_s-1273B,2.14,4484,1447,3037,0.6772970561998216
lru,602.gcc_s-1850B,0.2378,1229314,321056,908258,0.7388332029082887
lru,603.bwaves_s-2931B,0.8729,1173887,428230,745657,0.6352033884010982
lru,605.mcf_s-1536B,0.2401,5935682,2498292,3437390,0.5791061583150849
lru,607.cactuBSSN_s-2421B,1.467,5469046,5134453,334593,0.06117940862080882
lru,619.lbm_s-2676B,0.4974,6272894,4155749,2117145,0.33750689872967726
lru,620.omnetpp_s-141B,0.2707,2041322,891178,1150144,0.5634309530784463
lru,621.wrf_s-575B,1.173,2427,1149,1278,0.5265760197775031
lru,623.xalancbmk_s-165B,0.4989,951706,658,951048,0.9993086100119154
lru,625.x264_s-12B,2.384,17154,5256,11898,0.6935991605456453
lru,627.cam4_s-490B,1.022,1299479,690152,609327,0.46890099801535845
lru,628.pop2_s-17B,1.231,1496744,1036411,460333,0.3075562688074915
lru,631.deepsjeng_s-928B,1.079,144069,104403,39666,0.2753264060970785
lru,638.imagick_s-10316B,3.344,445773,443759,2014,0.004517994584687722
lru,641.leela_s-149B,0.9486,308625,209212,99413,0.3221158363710004
lru,644.nab_s-12459B,1.373,332687,282133,50554,0.1519566439325853
lru,648.exchange2_s-387B,1.259,22997,21839,1158,0.05035439405139801
lru,649.fotonik3d_s-1176B,0.393,1108870,623024,485846,0.43814513874484834
lru,654.roms_s-293B,1.177,878782,357235,521547,0.5934884874747093
lru,657.xz_s-4994B,1.398,31353,21972,9381,0.2992058176251077
lru_bip,600.perlbench_s-1273B,2.14,4484,1446,3038,0.6775200713648528
lru_bip,602.gcc_s-1850B,0.238,1229316,320136,909180,0.7395820114600314
lru_bip,603.bwaves_s-2931B,0.8682,1173807,240773,933034,0.7948785447692849
lru_bip,605.mcf_s-1536B,0.2443,5948950,2656175,3292775,0.5535052404205785
lru_bip,607.cactuBSSN_s-2421B,1.415,5460783,4063819,1396964,0.2558175265341985
lru_bip,619.lbm_s-2676B,0.4864,6272759,1129027,5143732,0.8200110987844423
lru_bip,620.omnetpp_s-141B,0.275,2041408,723993,1317415,0.6453462512148478
lru_bip,621.wrf_s-575B,1.173,2427,1149,1278,0.5265760197775031
lru_bip,623.xalancbmk_s-165B,0.6935,951706,177004,774702,0.814013991715929
lru_bip,625.x264_s-12B,2.386,17154,6133,11021,0.642474058528623
lru_bip,627.cam4_s-490B,1.046,1299488,403016,896472,0.6898655470462213
lru_bip,628.pop2_s-17B,1.221,1496668,1046187,450481,0.3009892641521032
lru_bip,631.deepsjeng_s-928B,1.08,144069,102423,41646,0.28906982071090936
lru_bip,638.imagick_s-10316B,3.344,445773,443759,2014,0.004517994584687722
lru_bip,641.leela_s-149B,0.9521,308634,180246,128388,0.41598786912653823
lru_bip,644.nab_s-12459B,1.382,332725,302392,30333,0.09116537681268315
lru_bip,648.exchange2_s-387B,1.259,22997,21839,1158,0.05035439405139801
lru_bip,649.fotonik3d_s-1176B,0.3946,1108870,391867,717003,0.6466069061296635
lru_bip,654.roms_s-293B,1.328,878989,251475,627514,0.713904269564238
lru_bip,657.xz_s-4994B,1.398,31353,20992,10361,0.33046279462890316
lru_lip,600.perlbench_s-1273B,2.14,4484,1446,3038,0.6775200713648528
lru_lip,602.gcc_s-1850B,0.2382,1229319,320124,909195,0.7395924084798169
lru_lip,603.bwaves_s-2931B,0.8687,1173925,231177,942748,0.8030734501778223
lru_lip,605.mcf_s-1536B,0.2409,5947111,1302901,4644210,0.7809186679044665
lru_lip,607.cactuBSSN_s-2421B,1.389,5455591,3308316,2147275,0.39359163837611727
lru_lip,619.lbm_s-2676B,0.4934,6272834,867869,5404965,0.8616464264796422
lru_lip,620.omnetpp_s-141B,0.2756,2041449,701384,1340065,0.6564283506470159
lru_lip,621.wrf_s-575B,1.173,2427,1149,1278,0.5265760197775031
lru_lip,623.xalancbmk_s-165B,0.7489,951706,186458,765248,0.8040802516743616
lru_lip,625.x264_s-12B,2.386,17154,6283,10871,0.6337297423341495
lru_lip,627.cam4_s-490B,1.064,1299486,384723,914763,0.7039421740595897
lru_lip,628.pop2_s-17B,1.223,1496657,1012358,484299,0.3235871679349377
lru_lip,631.deepsjeng_s-928B,1.08,144069,102199,41870,0.29062463125308013
lru_lip,638.imagick_s-10316B,3.344,445773,443759,2014,0.004517994584687722
lru_lip,641.leela_s-149B,0.9539,308636,168061,140575,0.45547181793439523
lru_lip,644.nab_s-12459B,1.379,332724,294604,38120,0.11456943292338395
lru_lip,648.exchange2_s-387B,1.259,22997,21839,1158,0.05035439405139801
lru_lip,649.fotonik3d_s-1176B,0.3962,1108870,372981,735889,0.6636386591755571
lru_lip,654.roms_s-293B,1.357,879024,267137,611887,0.6960981725186115
lru_lip,657.xz_s-4994B,1.398,31353,20943,10410,0.3320256434790929
pseudo_lru,600.perlbench_s-1273B,2.14,4484,1449,3035,0.6768510258697591
pseudo_lru,602.gcc_s-1850B,0.2378,1229314,321064,908250,0.7388266952137533
pseudo_lru,603.bwaves_s-2931B,0.8723,1173837,427958,745879,0.6354195684750097
pseudo_lru,605.mcf_s-1536B,0.24,5935975,2516679,3419296,0.5760293801776456
pseudo_lru,607.cactuBSSN_s-2421B,1.466,5468352,5132115,336237,0.06148781205013869
pseudo_lru,619.lbm_s-2676B,0.4974,6272929,4130769,2142160,0.34149278590591414
pseudo_lru,620.omnetpp_s-141B,0.2706,2041331,889546,1151785,0.5642323562420793
pseudo_lru,621.wrf_s-575B,1.173,2427,1149,1278,0.5265760197775031
pseudo_lru,623.xalancbmk_s-165B,0.4989,951706,658,951048,0.9993086100119154
pseudo_lru,625.x264_s-12B,2.383,17154,4878,12276,0.7156348373557188
pseudo_lru,627.cam4_s-490B,1.022,1299466,689687,609779,0.46925352413991595
pseudo_lru,628.pop2_s-17B,1.228,1496729,1039946,456783,0.30518751223501384
pseudo_lru,631.deepsjeng_s-928B,1.078,144068,104224,39844,0.2765638448510426
pseudo_lru,638.imagick_s-10316B,3.344,445773,443729,2044,0.004585293411669168
pseudo_lru,641.leela_s-149B,0.949,308623,212736,95887,0.31069298140449675
pseudo_lru,644.nab_s-12459B,1.373,332685,283420,49265,0.14808302147677233
pseudo_lru,648.exchange2_s-387B,1.259,22997,21839,1158,0.05035439405139801
pseudo_lru,649.fotonik3d_s-1176B,0.393,1108870,622543,486327,0.4385789136688701
pseudo_lru,654.roms_s-293B,1.18,878786,357160,521626,0.593575682816977
pseudo_lru,657.xz_s-4994B,1.398,31353,21935,9418,0.30038592798137337
srrip,600.perlbench_s-1273B,2.14,4484,1448,3036,0.6770740410347904
srrip,602.gcc_s-1850B,0.2382,1229320,319958,909362,0.7397276543129535
srrip,603.bwaves_s-2931B,0.8685,1173707,230370,943337,0.803724438893182
srrip,605.mcf_s-1536B,0.2393,5939485,1218451,4721034,0.7948557829508788
srrip,607.cactuBSSN_s-2421B,1.39,5457521,3247257,2210264,0.404994135615786
srrip,619.lbm_s-2676B,0.4909,6272813,1744569,4528244,0.7218841052650541
srrip,620.omnetpp_s-141B,0.2719,2041324,745592,1295732,0.6347507793961175
srrip,621.wrf_s-575B,1.173,2427,1149,1278,0.5265760197775031
srrip,623.xalancbmk_s-165B,0.7519,951706,187804,763902,0.8026659493583103
srrip,625.x264_s-12B,2.385,17154,6365,10789,0.6289495161478372
srrip,627.cam4_s-490B,1.021,1299472,411051,888421,0.6836784478619008
srrip,628.pop2_s-17B,1.223,1496597,1026936,469661,0.3138192846838528
srrip,631.deepsjeng_s-928B,1.079,144067,100699,43368,0.3010266056765255
srrip,638.imagick_s-10316B,3.341,445773,442286,3487,0.007822366989476706
srrip,641.leela_s-149B,0.9509,308594,175854,132740,0.43014446165511966
srrip,644.nab_s-12459B,1.36,332655,244780,87875,0.2641625708316424
srrip,648.exchange2_s-387B,1.259,22997,21839,1158,0.05035439405139801
srrip,649.fotonik3d_s-1176B,0.3964,1108870,241904,866966,0.7818463841568444
srrip,654.roms_s-293B,1.244,878825,191846,686979,0.7817017039797457
srrip,657.xz_s-4994B,1.398,31353,20989,10364,0.33055847925238413
